R1_START	R1_END	R2_START	R2_END	UTR_IDX
631072	631182	631255	631405	9
625196	631183	631255	631405	9
631072	631182	631255	631405	9
631072	631183	631255	631405	9
625195	631182	631256	631406	9
462832	631183	631256	631406	9
625196	631183	631256	631406	9
631074	631185	631256	631406	9
531621	631183	631257	631407	9
631072	631183	631258	631408	9
631072	631183	631258	631408	9
631072	631183	631258	631408	9
631079	631190	631258	631408	9
631072	631183	631258	631408	9
368269	631183	631258	631408	9
625196	631183	631258	631408	9
617141	631183	631258	631408	9
395308	631183	631258	631408	9
631072	631183	631258	631408	9
490551	631183	631258	631408	9
631072	631183	631258	631408	9
368269	631183	631259	631409	9
443164	631184	631259	631409	9
631072	631183	631259	631409	9
368269	631183	631259	631409	9
395308	631183	631260	631410	9
631072	631183	631260	631406	9
486086	631216	631261	631411	9
368269	631183	631261	631411	9
631072	631182	631261	631411	9
631071	631183	631261	631411	9
386549	631183	631261	631411	9
631069	631183	631261	631411	9
443221	631183	631261	631411	9
631072	631183	631262	631412	9
625196	631183	631262	631412	9
368269	631183	631262	631412	9
429772	631183	631262	631412	9
368269	631183	631262	631412	9
631072	631183	631262	631412	9
368269	631183	631262	631412	9
625196	631183	631262	631412	9
368269	631183	631262	631412	9
395308	631183	631262	631412	9
631072	631183	631262	631412	9
368269	631183	631262	631412	9
631072	631183	631262	631412	9
476827	631183	631263	631412	9
523458	631183	631263	631412	9
631072	631183	631263	632704	9
349816	631183	631265	631415	9
631266	632629	630992	631140	9
386545	631185	631266	631416	9
631072	631183	631266	631412	9
625196	631183	631266	631416	9
625196	631183	631267	631417	9
368269	631183	631268	631418	9
395308	631183	631268	631418	9
464167	631225	631268	631418	9
395308	631183	631268	631418	9
625196	631183	631269	631419	9
531145	631183	631270	631420	9
395308	631183	631271	631421	9
395308	631183	631272	631422	9
415359	631183	631272	631422	9
625196	631183	631272	631422	9
631275	631399	631071	631160	9
395308	631183	631274	631424	9
386621	631184	631274	631424	9
472952	631183	631276	631426	9
625196	631183	631277	631427	9
395308	631183	631278	631428	9
625196	631183	631279	631429	9
395308	631183	631279	631429	9
368269	631183	631279	631429	9
506160	631311	631279	631429	9
625196	631183	631281	631431	9
395308	631183	631281	631431	9
395308	631183	631281	631431	9
509388	631183	631284	631434	9
481908	631183	631284	631434	9
625196	631183	631286	631436	9
522322	631184	631286	631436	9
422344	631183	631289	631439	9
424672	631183	631293	631443	9
449317	631183	631294	631412	9
631072	631183	631295	631412	9
395309	631183	631297	631412	9
395307	631182	631299	631449	9
439566	631183	631301	631451	9
631072	631183	631302	632704	9
631072	631184	631306	631404	9
631072	631182	631309	631394	9
631072	631183	631314	631407	9
631072	631183	631315	631411	9
462976	631184	631318	631468	9
631072	631183	631322	631411	9
774245	778634	774170	778597	11
774178	778304	778294	778444	11
774177	778302	778346	778496	11
774244	778371	778371	778521	11
774244	778371	778406	778556	11
774244	778371	778418	778568	11
774244	778371	778419	778569	11
778422	778533	778270	778413	11
778501	778612	778369	778519	11
778501	778612	778320	778469	11
778502	778612	778341	778491	11
778503	778612	778356	778506	11
778503	778612	774265	778418	11
778503	778612	778356	778506	11
778503	778612	774273	778426	11
778503	778612	778389	778539	11
778504	778612	778382	778532	11
778505	778615	778369	778519	11
778505	778615	778369	778519	11
778505	778615	778315	778465	11
